Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
BIBLIOTEK/	bibliotek/o	1OA	BRO8: biblioteko		bibliothèque	library	Bibliothek	bibljoteka	??????????				
BICIKL/	bicikl/o	1OA	BRO8: biciklo		bicycle	bicycle	Zweirad	bicykl	??????????				
BIEN/	bien/o	F	BRO7: bieno		bien, avoir, propriété AK	goods, estate	Gut, Landgut	posiad?os'c' ziemska, maja;tek	??????				
BIER/	bier/o	F	BRO7: biero		bière	beer	Bier	piwo	????				
BIFSTEK/	bifstek/o	1OA	BRO9: bifsteko		bifteck	beefsteak	Beefsteak	befsztyk	?????????				
BILD/	bild/o	1OA	BRO3: bildo		image	image, picture	Bild	obraz	???????????, ???????				
BILET/	bilet/o	3OA	BRO7: bileto		billet	ticket	Billet, Fahrkarte, Eintrittskarte			billete	biglietto		bilhete
BIND/	bind/i	F	BRO9: bindi		relier	bind (books)	binden (Bücher)	oprawiac'	???????????				
BIRD/	bird/o	F	BRO3: birdo		oiseau	bird	Vogel	ptak	?????				
BLANK/	blank/a	F	BRO3: blanka		blanc	white	weiss	bia?y	?????				
BLASFEM/	blasfem/i	1OA	BRO9: blasfemi		blasphème	blasphemy	Gotteslästerung	bluz'nierstwo	????????????				
BLEK/	blek/i	F	BRO9: bleki		crier (en parlant des animaux), beugler, hennir, .. AK	cry (of beasts)	blöken, wiehern etc.	beczec', rz.ec'	??????, ??????, ????? ? ?. ?				
BLIND/	blind/a	F	BRO7: blinda		aveugle	blind	blind	s'lepy	??????				
BLOK/	blok/o	3OA	BRO9: bloko		bloc	block, lump	Block, Klotz	blok		maza	blocco, masso		
BLOND/	blond/a	F	BRO7: blonda		blond	blond, fair AK	blond	blond, p?owy AK	?????, ?????????				
BLOV/	blov/i	F	BRO6: blovi		souffler	blow (trans.) AK	blasen, wehen	da;c', dmuchac'	????				
BLU/	blu/a	F	BRO4: blua		bleu	blue	blau	niebieski	?????				
BLUZ/	bluz/o	1OA	BRO8: bluzo		blouse	blouse	Bluse	bluza	?????				
BO/	bo-	F	BRO1: bo-		marque la parenté resultant du mariage; ex. patr/ père -- bo/patr/ beau-père	relation by marriage; e. g. patr/in/ mother -- bo/patr/in/ mother-in-law	durch Heirath (eigene oder fremde) erworben; z. B. patr/ Vater -- bo/patr/ Schwiegervater; frat/ Bruder -- bo/frat/ Schwager	nabyty przez ma?z.en'stwo (w?asne lub obce); np. patr/ ojciec -- bo/patr/ tes'c'; frat/ brat -- bo/frat/ szwagier	????????????? ??????? (?????? ??? ??????); ????. patr/ ????? -- bo/patr/ ?????, ???????; frat/ ????? -- bo/frat/ ??????, ????, ??????				
BOAT/	boat/o	F	BRO8: boato		bateau, canot	boat, bark	Boot	bat, ?ódz'	??????, ?????, ??? AK				
BOJ/	boj/i	F	BRO8: boji		aboyer	bark (dog’s)	bellen	szczekac'	?????				
BOL/	bol/i	F	BRO6: boli		bouillir	boil (vb.)	sieden	kipic', wrzec'	??????				
BOMBON/	bombon/o	F	BRO8: bombono		bonbon	a sweet, bonbon AK	Bonbon, Zuckerwerk AK	cukierek	??????? AK				
BON/	bon/a	F	BRO2: bona		bon	good	gut	dobry	???????, ??????				
BOR/	bor/i	F	BRO8: bori		percer	bore (vb.)	bohren	wiercic', s'widrowac'	????????				
BORD/	bord/o	F	BRO4: bordo		bord, rivage	shore	Ufer	brzeg	??????				
BORS/	bors/o	F	BRO9: borso		bourse (local) AK	bourse, exchange	Börse (der Kaufleute)	gie?da	?????				
BOT/	bot/o	F	BRO7: boto		botte	boot	Stiefel	but	??????				
BOTEL/	botel/o	F	BRO6: botelo		bouteille	bottle	Flasche	butelka	???????				
BOV/	bov/o	F	BRO5: bovo		boeuf	ox	Ochs, Rind AK	byk	????				
BOVL/	bovl/o	8OA	BRO9: bovlo	bovl/o. Larg^a, duonsfera taso, ordinare el argilo au( fajenco.	bol	bowl	(Trink)schale			tazón, bol	ciotola		tijela, escudela
BRACELET/	bracelet/o	2OA	BRO9: braceleto		bracelet	bracelet	Armband						
BRAK/	brak/o	F	BRO4: brako		bras	arm	Arm	ramie;	???? (?? ????? ?? ?????) AK				
BRANC^/	branc^/o	F	BRO6: branc^o		branche	branch	Ast, Zweig AK	ga?az'	?????				
BRAND/	brand/o	F	BRO9: brando		eau-de-vie	brandy	Branntwein	wódka	?????				
BRASIK/	brasik/o	F	BRO7: brasiko		chou	cabbage	Krautkopf, Kohl AK	kapusta	???????				
BRAV/	brav/a	F	BRO8: brava		brave, vaillant AK	valiant, brave	tüchtig	dzielny, chwacki	??????, ?????? AK				
BRED/	bred/i	8OA	BRO9: bredi	bred/i 1. Teni kaj reprodukti (bestojn) por la homuzado. 2. Plibonigi kulturformojn de plantoj kaj bestoj produktante novajn per krucado au( selekto.	élever, produire (bêtes, plantes), améliorer (race)	to breed	züchten, aufziehen			criar	allevare		criar (animais), cultivar (plantas), melhorar (raça)
BREMS/	brems/o	5OA	BRO8: bremso	brems/o. (Mekaniko). Mekanika au( elektra aparato por malakceli, haltigi au( reguligi movon au( funkciadon de mas^ino.	frein	brake	Bremse	bremzo		freno (de una máquina)	freno		
BRET/	bret/o	F	BRO7: breto		tablette, étagère, rayon AK	shelf, rack AK	Wandbrett, Regal	pó?ka	?????				
BRID/	brid/o	F	BRO9: brido		bride	bridle	Zaum	uzda	????				
BRIK/	brik/o	F	BRO7: briko		brique	brick	Backstein, Ziegelstein AK	ceg?a	???????				
BRIL/	bril/i	F	BRO4: brili		briller	shine	glänzen	b?yszczec'	????????				
BROKANT/	brokant/i	2OA	BRO9: brokanti		brocanter	to broke	schachern						
BRONZ/	bronz/o	F	BRO9: bronzo		bronze	bronze	Bronze	bronz	??????				
BROS/	bros/o	F	BRO6: broso		brosse	brush	Bürste	szczotka	?????				
BROS^UR/	bros^ur/o	1OA	BRO8: bros^uro		brochure	pamphlet	Broschüre	broszura	???????				
BROV/	brov/o	F	BRO8: brovo		sourcil	eye-brow	Augenbraue	brew	?????				
BRU/	bru/i	F	BRO4: brui		faire du bruit	noise	lärmen, brausen	szumiec', ha?asowac'	??????				
BRUL/	brul/i	F	BRO3: bruli		brûler (être en feu)	burn (v. n.)	brennen (v. n.)	palic' sie;	??????				
BRUN/	brun/a	F	BRO5: bruna		brun	brown	braun	brunatny	?????				
BRUST/	brust/o	F	BRO5: brusto		poitrine	breast	Brust	piers'	?????				
BRUT/	brut/o	F	BRO9: bruto		brute, bétail	head of cattle AK	Vieh	byd?o	?????				
BUB/	bub/o	F	BRO8: bubo		gamin AK	lad, urchin AK	Bube	ch?opak, ulicznik AK	?????????				
BUC^/	buc^/i	F	BRO9: buc^i		tuer, massacrer, abattre (animaux) AK	slaughter, butcher	schlachten	zabijac', rzezac'	?????????? AK				
BUD/	bud/o	F	BRO8: budo		boutique, échoppe AK	booth, shop	Bude	buda	????????				
BUDG^ET/	budg^et/o	3OA	BRO9: budg^eto		budget	budget	Budget	budz.et (noto)		presupuesto	bilancio preventivo		orcamento
BUG^ET/	bug^et/o	8OA	BRO9: bug^eto	bug^et/o. Detala antau(kalkulo de en- kaj el-spezoj por difinita periodo, ofte prezentita en formala dokumento.	budget	budget	Haushaltsplan, Budget			presupuesto, (“budget”)	bilancio, preventivo		orçamento
BUK/	buk/o	F	BRO9: buko		boucle	buckle, clasp AK	Schnalle	sprza;czka	??????				
BUKED/	buked/o	F	BRO9: bukedo		bouquet	nosegay	Strauss (Blumen)	bukiet	??????				
BUKL/	bukl/o	F	BRO9: buklo		bouche (de cheveux) AK	curl, ringlet AK	Locke	lok, pukiel	??????				
BUL/	bul/o	F	BRO7: bulo		boule, motte	lump, clod, ball AK	Kloss	bryla, kluska	???, ????? AK				
BULB/	bulb/o	F	BRO9: bulbo		bulbe, oignon AK	bulb, onion AK	Zwiebel	cebula	????????				
BULK/	bulk/o	F	BRO9: bulko		petit pain blanc AK	manchet loaf, roll (bread) AK	Semmel	bu?ka	?????				
BULTEN/	bulten/o	5OA	BRO9: bulteno	bulten/o. Perioda informilo de societo.	bulletin	bulletin	periodischer schriftlicher Bericht	buletyn		boletín (periódico) (noto)	bollettino		
BULVARD/	bulvard/o	1OA	BRO8: bulvardo		boulevard	boulevard	Boulevard	bulwar	????????				
BURG^/	burg^/o	F	BRO7: burg^o		bourgeois	burgher	Bürger (nicht adeliger)	mieszczanin	????????				
BURG^ON/	burg^on/o	F	BRO9: burg^ono		bourgeon	bud	Knospe	pa;czek	????? (????????), ????? AK				
BUS^/	bus^/o	F	BRO3: bus^o		bouche	mouth	Mund	usta	????				
BUTER/	buter/o	F	BRO5: butero		beurre	butter	Butter	mas?o	????? (???????)				
BUTIK/	butik/o	F	BRO8: butiko		boutique	small shop AK	Laden, Krambude	sklep	????? (????????)				
BUTON/	buton/o	F	BRO6: butono		bouton	button	Knopf	guzik	????????				
CED/	ced/i	F	BRO8: cedi		céder	yield, give up	abtreten, weichen	uste;powac'	????????				
CEL/	cel/o	F	BRO4: celo		viser	aim	zielen	celowac'	????????				
CEMENT/	cement/o	F	BRO8: cemento		ciment, lut	cement, lute	Cement, Kitt	cement, kit	???????				
CENT	cent	F	BRO1: cent		cent	hundred	hundert	sto	???				
CENTIMETR/	centimetr/o	1OA	BRO9: centimetro		centimètre	centimeter	Zentimeter	centymetr	??????????				
CENTR/	centr/o	F +1OA +8OA	BRO7: centro		centre	centre	Zentrum	centrum, s'rodek	??????				
CENTRAL/	central/o	8OA	BRO9: centralo	central/o. Centra loko, kie oni produktas ion c^irkau(e distribueblan (elektron, betonon, ...) au( funkciigas telefonan sistemon, au( kie oni administras komunan agadon (sindikatoj, partioj, ...).	une centrale	centre (of activity), (generating) station, (telephone)exchange	Zentrale, Kraftwerk, Gewerkschaftszentrale			central	centrale		central
CEP/	cep/o	8OA	BRO9: cepo	cep/o. Legomo, specio el la genro ajlo, kulturata por sia bulbo (Latine: "Allium cepa").	oignon (légume)	onion	Zwiebel			cebolla	cipolla		cebola
CERB/	cerb/o	F	BRO8: cerbo		cerveau	brain	Gehirn	mózg	?????				
CERT/	cert/a	F	BRO3: certa		certain	certain, sure	sicher, gewiss AK	pewny, znany	??????, ?????????				
CERV/	cerv/o	F	BRO9: cervo		cerf	deer	Hirsch	jelen'	?????				
CETER/	ceter/a	F	BRO5: cetera		autre (le reste)	rest, remainder	übrig	pozosta?y	??????				
CIFER/	cifer/o	F	BRO6: cifero		chiffre	a cipher, numerical figure AK	Ziffer	cyfra	?????				
CIGAR/	cigar/o	F	BRO9: cigaro		cigare	cigar	Cigarre	cygaro	??????				
CIGARED/	cigared/o	F	BRO7: cigaredo		cigarette	cigarette	Cigarette	papieros	????????				
CIGN/	cign/o	F	BRO9: cigno		cygne	swan	Schwan	?abe;dz'	??????				
CIKAD/	cikad/o	2OA	BRO9: cikado		cigale	cicada	Cikade						
CIKATR/	cikatr/o	F	BRO9: cikatro		cicatrice AK	scar, cicatrice	Narbe	blizna	??????				
CIKL/	cikl/o	2OA	BRO7: ciklo										
CIKONI/	cikoni/o	F	BRO9: cikonio		cigogne	stork	Storch	bocian	?????				
CINAM/	cinam/o	F	BRO9: cinamo		cannelle	cinnamon	Zimmt	cynamon	??????				
CINDR/	cindr/o	F	BRO9: cindro		cendre	ash, cinder	Asche	popió?	??????				
CIR/	cir/o	F	BRO9: ciro		cirage	shoe-polish	Wichse	szuwaks	?????				
CIRKEL/	cirkel/o	F	BRO9: cirkelo		compas AK	compasses (geom.) AK	Zirkel (Instrument)	cyrkiel	???????				
CIRKL/	cirkl/o	8OA	BRO9: cirklo	cirkl/o. La lokaro de c^iuj punktoj en ebeno, kiuj havas fiksan distancon al donita punkto, nomata la centro.	cercle	circle	Kreis			círculo	circolo		circunferência
CIRKONSTANC/	cirkonstanc/o	F	BRO8: cirkonstanco		cirkonstance	circumstance	Umstand	okolicznos'c'	??????????????				
CIRKUL/	cirkul/i	3OA	BRO9: cirkuli		circuler	to circulate	zirkulieren	cyrkulowac' (noto)		circular	circolare		circular
CIRKULER/	cirkuler/o	F	BRO9: cirkulero		circulaire	circular	Cirkular	okólnik	?????????				
CIRKVIT/	cirkvit/o	8OA	BRO9: cirkvito	cirkvit/o. La vojo, lau( kiu kurento povas cirkuli.	circuit (électrique)	circuit (electric)	Stromkreis, Leitung			circuito (eléctrico)	circuito (elettrico)		circuito (eléctrico)
CIT/	cit/i	F	BRO8: citi		citer	cite, quote, name AK	citiren	przytaczac', cytowac'	??????????				
CITRON/	citron/o	F	BRO7: citrono		citron	lemon	Citrone	cytryna	??????				
CIVIL/	civil/a	1OA	BRO9: civila		civil	civil (non-military)	zivil	cywilny	???????????				
CIVILIZ/	civiliz/i	F	BRO8: civilizi		civiliser AK	civilize AK	zivilisieren, aufklären AK	cywilizowac' AK	??????????				
CIVIT/	civit/o	3OA	BRO9: civito		cité	city	Stadt			ciudad	citta?		cidade
C^AGREN/	c^agren/i	F	BRO8: c^agreni		chagriner	vex, annoy AK	verdriessen	martwic'	????????? ??????, ???????? AK				
C^AMBR/	c^ambr/o	F	BRO2: c^ambro		chambre	room, chamber AK	Zimmer	pokój	???????				
C^AP/	c^ap/o	F	BRO7: c^apo		bonnet	cap, bonnet AK	Mütze	czapka	?????				
C^APEL/	c^apel/o	F	BRO4: c^apelo		chapeau	hat	Hut	kapelusz	?????				
C^APITR/	c^apitr/o	F	BRO6: c^apitro		chapitre	chapter	Kapitel	rozdzia?	????? (?????)				
C^AR/	c^ar/o	2OA	BRO9: c^aro		char	car	Karren						
C^AR	c^ar	F	BRO1: c^ar		car, parce que	for, since, because AK	weil, denn, da	albowiem, poniewaz.	???, ???? ????				
C^ARM/	c^arm/a	F	BRO7: c^arma		charmant	charm	anmuthig	uroczy, mi?y AK	?????, ?????????????? AK				
C^AS/	c^as/i	F	BRO6: c^asi		chasser (vénerie)	hunt	jagen, Jagd machen	polowac'	?????????				
C^E	c^e	F	BRO1: c^e		chez, à, en présence de AK	at	bei, zu AK	u, przy	?, ???				
C^EF/	c^ef-	F	BRO1: c^ef-		principal	chief (adj.), head AK	Haupt, Chef	szef, g?ówny	?????, ???????				
C^EK/	c^ek/o	1OA	BRO8: c^eko		chèque	cheque	Scheck, Zahlschein	czek	????				
C^EL/	c^el/o	F	BRO9: c^elo		ceilule	cell	Zelle	cela, komórka	????, ??????, ?????				
C^EMIZ/	c^emiz/o	F	BRO6: c^emizo		chemise	shirt	Hemd	koszula	???????				
C^EN/	c^en/o	F	BRO8: c^eno		chaine	chain	Kette	?an'cuch	????				
C^ERIZ/	c^eriz/o	F	BRO8: c^erizo		cerise	cherry	Kirsche	wis'nia	?????				
C^ERK/	c^erk/o	F	BRO9: c^erko		cercueil	coffin	Sarg	trumna	?????				
C^ERP/	c^erp/i	F	BRO8: c^erpi		puiser	draw (water, etc.) AK	schöpfen (z. B. Wasser)	czerpac'	???????				
C^ES/	c^es/i	F	BRO5: c^esi		cesser (intr.) AK	cease, desist	aufhören	przestac' AK	???????????				
C^EVAL/	c^eval/o	F	BRO3: c^evalo		cheval	horse	Pferd	kon'	????				
C^I	c^i	F	BRO1: c^i		ce qui est le plus près; ex. tiu celui-là -- tiu c^i celui-ci	denotes proximity; e. g. tiu that -- tiu c^i this; tie there -- tie c^i here	die nächste Hinweisung; z. B. tiu jener -- tiu c^i dieser; tie dort -- tie c^i hier	okres'lenie najbliz.sze; np. tiu tamten -- tiu c^i ten; tie tam -- tie c^i tu	????????? ????????; ????. tiu ????-- tiu c^i ?????; tie ???? -- tie c^i ?????				
C^IA	c^ia	F	BRO1: c^ia		chaque	every, every kind of AK	jedweder, jeglicher	wszelaki	??????, ?????????				
C^IAL	c^ial	F +7OA	BRO9: c^ial	c^ial. El c^ia kau(zo, motivo.									
C^IAM	c^iam	F	BRO1: c^iam		toujours	always	immer	zawsze	??????				
C^IE	c^ie	F	BRO1: c^ie		partout	everywhere	überall	wsze;dzie	???????				
C^IEL/	c^iel/o	F	BRO3: c^ielo		ciel	sky, heaven AK	Himmel	niebo	????				
C^IEL	c^iel	F	BRO6: c^iel		de chaque (toute) manière	in every manner	auf jede Weise	wszelkim sposobem	????????				
C^IES	c^ies	F +7OA	BRO9: c^ies	c^ies. Apartenanta al c^iu.									
C^IF/	c^if/i	F	BRO9: c^ifi		froisser, chiffonner	crumple, tumble AK	zerknittern, zerknüllen	mie;tosic'	????				
C^IFON/	c^ifon/o	F	BRO7: c^ifono		chiffon	rag	Lappen, Lumpen	szmata, ?achman AK	???????				
C^IO	c^io	F	BRO1: c^io		tout	everything	alles	wszystko	???				
C^IOM	c^iom	F +7OA	BRO9: c^iom	c^iom. Tutkvante.									
C^IRKAU(	c^irkau(	F	BRO1: c^irkau(		autour de, environ	about, around	um, herum, gegen	oko?o, doko?a	?????, ???????				
C^IU	c^iu	F	BRO1: c^iu		chacun	each, every one	jeder, jedermann AK	wszystek, kaz.dy	??????, ??????				
C^J/	-c^j-	F	BRO9: -c^j-		après les 1-5 premières lettres d’un prénom masculin lui donne un caractère diminutif et caressant; ex. Mih^ael/ -- Mi/c^j/	affectionate diminutive of masculine names; e.g. Johan/ John -- Jo/c^j/ Johnnie	den 1-5 Buchstaben eines männlichen Eigennamens beigefügt verwandelt diesen in ein Kosewort; z. B. Mih^ael/ -- Mi/c^j/; Aleksandr/ -- Ale/c^j/	dodane do pierwszych 1-5 liter imenia w?asnego me;zkiego rodzaju zmienia je w pieszczotliwe; np. Mih^ael/ -- Mi/c^j/; Aleksandr/ -- Ale/c^j/	????????????? ?? ??????? 1-5 ??????? ????? ???????????? ???????? ????, ??????????? ??? ?? ????????????; ????. Mih^ael/ -- Mi/c^j/; Aleksandr/ -- Ale/c^j/				
C^OKOLAD/	c^okolad/o	F	BRO7: c^okolado		chocolat	chocolate	Chocolade	czekolada	????????				
C^U	c^u	F	BRO1: c^u		est-ce que, si (inter. ind.) AK	whether	ob	czy	??, ?????				
DA	da	F	BRO1: da		de (après les mots marquant mesure, poids, nombre)	is used instead of de after words expressing weight or measure; e. g. funt/o da viand/o a pound of meat, glas/o da te/o a cup of tea	(nach Mass, Gewicht u. drgl. bezeichnenden Wörtern); z. B. kilogram/o da viand/o ein Kilogramm Fleisch; glas/o da te/o ein Glass Thee AK	zaste;puje przypadek drugi (po s?owach oznaczaja;cych miare;, wage; i. t. p.); np. kilogram/o da viand/o kilogram mie;sa; glas/o da te/o szklanka herbaty	(????? ?????, ??????????? ????, ???? ? ?. ?.) ????????? ??????????? ??????; ????. kilogram/o da viand/o ????????? ????; glas/o da te/o ??????? ???				
DAKTIL/	daktil/o	F	BRO9: daktilo		datte	date (fruit)	Dattel	daktyl	??????				
DANC/	danc/i	F	BRO6: danci		danser	dance	tanzen	tan'czyc'	?????????				
DAND/	dand/o	F	BRO9: dando		petit-maître	dandy	Stutzer	fircyk, elegant	??????				
DANG^ER/	dang^er/o	F	BRO5: dang^ero		danger	danger	Gefahr	niebezpieczen'stwo	?????????				
DANK/	dank/i	F	BRO3: danki		remercier	thank	danken	dzie;kowac'	???????????				
DAT/	dat/o	F	BRO7: dato		date	date	Datum	data	????? (??????)				
DAU(R/	dau(r/o	F	BRO4: dau(ro		durer, continuer AK	last (intr.) AK	dauern	trwac'	????????????				
DAU(R/IG/	dau(r/ig/i	F	BRO7: dau(rigi		continuer	continue	fortsetzen	dalej cia;gna;c'	??????????				
DE	de	F	BRO1: de		de	of, from	von, von...an, seit; kennzeichnet auch den Genitiv AK	od; zaste;puje tez. dope?niacz	??; ???????? ????? ??????????? ????? AK				
DE/PEND/	de/pend/i	F	BRO8: dependi		dépendre	depend, hang from AK	abhängen	zalez'ec'	????????				
DE/TEN/	de/ten/i	F	BRO9: deteni		retenir	abstain from, restrain AK	enthalten, abhalten	zatrzymywac'	??????????				
DEBET/	debet/o	3OA	BRO9: debeto		compte débiteur, débit, débet	debit	Debet, Soll			debe, débito (noto)	debito		
DEC/	dec/i	F	BRO9: deci		être convenable, convenir, être séant AK	be fitting, proper AK	(sich) gebühren, sich schicken AK	byc' przyzwoitym AK	?????????				
DECEMBR/	Decembr/o	F	BRO5: Decembro		Décembre	December	December	Grudzien'	???????				
DECID/	decid/i	F	BRO5: decidi		décider	decide	entscheiden, beschliessen	rozstrzygac'	??????				
DEDIC^/	dedic^/i	F	BRO8: dedic^i		vouer, dédier	dedicate	widmen	pos'wie;cac', dedykowac'	?????????				
DEFEND/	defend/i	F	BRO6: defendi		défendre	defend	vertheidigen	bronic'	????????				
DEFICIT/	deficit/o	1OA	BRO8: deficito		déficit	deficit	Defizit	deficyt	????????				
DEGEL/	degel/i	F	BRO8: degeli		dégeler (se)	thaw	aufthauen	tajac', odmarzac' AK	?????				
DEJ^OR/	dej^or/i	F	BRO9: dej^ori		être de service	be on duty, on service AK	den Dienst haben	dez.urowac'	????????				
DEK	dek	F	BRO1: dek		dix	ten	zehn	dziesie;c'	??????				
DEKLAR/	deklar/i	1OA	BRO8: deklari		déclarer	declare	deklarieren	os'wiadczyc'	????????				
DEKLIV/	dekliv/o	F	BRO7: deklivo		pente, rampe AK	declivity	Abhang	pochy?os'c'	?????????				
DEKORACI/	dekoraci/o	3OA	BRO8: dekoracio		décors, décoration	scenery, decorations	Dekoration	dekoracja		decoración (noto)	scenario, decorazione		decoração (noto)
DEKSTR/	dekstr/a	F	BRO3: dekstra		droit, droite	right-hand	recht	prawy	??????				
DELEG/	deleg/i	1OA	BRO8: delegi		déléguer	delegate	abordnen	delegowac'	????????????				
DELIKAT/	delikat/a	F	BRO6: delikata		délicat, fin AK	delicate, fine	fein, zart	delikatny	??????				
DELIR/	delir/i	F	BRO9: deliri		délirer AK	be delirious, rave AK	irre reden, wahnsinnig sein AK	majaczyc'	???????				
DEMAND/	demand/i	F	BRO2: demandi		demander, questionner	ask (a question) AK	fragen	pytac'	??????????				
DENS/	dens/a	F	BRO6: densa		épais, dense	dense	dicht	ge;sty	??????				
DENT/	dent/o	F	BRO4: dento		dent	tooth	Zahn	za;b	????				
DENUNC/	denunc/i	F	BRO9: denunci		denoncer	denounce	denunciren	denuncyowac'	????????				
DEPON/	depon/i	3OA	BRO9: deponi		mettre en dépôt, déposer	to deposit	deponieren	deponowac' (noto)		deponer	depositare		depor
DEPUT/	deput/i	F	BRO9: deputi		députer	depute	abordnen	wyprawiac'	????????, ??????????				
DES	des	F	BRO7: des		d’autant plus	the (the... the -- ju... des)	desto, um so	tem	????				
DESEGN/	desegn/i	F	BRO6: desegni		dessiner	design, draw AK	zeichnen	kres'lic', rysowac'	????????, ??????? AK				
DESERT/	desert/o	1OA	BRO8: deserto		dessert	dessert	Dessert, Nachtisch	desert	???????				
DESTIN/	destin/i	1OA	BRO8: destini		destiner	destine	bestimmen	przeznaczac'	?????????????				
DETAL/	detal/o	F	BRO8: detalo		détaillé	detailed, in detail AK	ausführlich	szczegó?owy	?????????				
DETERMIN/	determin/i	2OA	BRO9: determini		déterminer	to determine	bestimmen						
DETRU/	detru/i	F	BRO7: detrui		détruire	destroy	zerstören	burzyd, niszczyc'	?????????				
DEV/	dev/i	F	BRO2: devi		devoir (obligation) AK	ought, must	müssen, sollen AK	musiec'	??????????????				
DEZERT/	dezert/o	F	BRO7: dezerto		désert	a desert AK	Wüste	pustynia	???????				
DEZIR/	dezir/i	F	BRO2: deziri		désirer, souhaiter AK	desire	wünschen	z.yczyc'	??????				
DIABL/	diabl/o	F	BRO8: diablo		diable	devil	Teufel	djabe?	???????, ?????				
DIALOG/	dialog/o	1OA	BRO9: dialogo		dialogue	dialogue	Dialog	djalog	???????				
DIANT/	diant/o	2OA	BRO9: dianto		œillet	pink	Nelke						
DIET/	diet/o	1OA	BRO9: dieto		diète (régime)	diet	Diät	dyeta	?????				
DIFEKT/	difekt/i	F	BRO7: difekti		endommager, détériorer	damage, injure	beschädigen, verletzen	uszkadzac'	??????????, ??????? AK				
DIFERENC/	diferenc/i	F	BRO6: diferenci		différer, être différent AK	differ	sich unterscheiden	róz.nic sie;	???????????				
DIFIN/	difin/i	F	BRO7: difini		définir, déterminer	define	bestimmen	wyznaczac', okres'lac'	??????????				
DIGEST/	digest/i	F	BRO9: digesti		digérer	digest	verdauen	trawic'	???????????? (? ???????)				
DIK/	dik/a	F	BRO4: dika		gros, épais AK	thick, corpulent AK	dick	gruby	???????				
DIKT/	dikt/i	F	BRO9: dikti		dicter	dictate	dictiren	dyktowac'	?????????				
DILIGENT/	diligent/a	F	BRO7: diligenta		diligent, assidu	diligent	fleissig	pilny	?????????				
DIMANC^/	dimanc^/o	F	BRO5: dimanc^o		dimanche	Sunday	Sonntag	niedziela	???????????				
