Elemento	Bazformo	Statuso	BRO	Oficiala difino	France	Angle	Germane	Pole	Ruse	Hispane	Itale	Katalune	Portugale
KRON/	kron/o	F	BRO8: krono		couronne	crown	Krone, Kranz	wieniec, korona AK	??????, ??????				
KRUC/	kruc/o	F	BRO5: kruco		croix	cross	Kreuz	krzyz.	??????				
KRUC^/	kruc^/o	F	BRO8: kruc^o		cruche	jug, pitcher, cruise AK	Krug	dzban	???????				
KRUD/	krud/a	F	BRO7: kruda		cru, rudé	raw, crude, rough	roh, rauh	surowy (produkt) AK	?????, ???????				
KRUEL/	kruel/a	F	BRO8: kruela		cruel	cruel	grausam	okrutny	????????				
KRUR/	krur/o	F	BRO5: kruro		cuisse, jambe	leg AK	Bein, Unterschenkel AK	golen'	??????				
KRUST/	krust/o	F	BRO8: krusto		croute	crust	Kruste, Rinde AK	strup	?????, ????? AK				
KRUT/	krut/a	F	BRO8: kruta		roide, escarpé	steep	steil	stromy	??????				
KUB/	kub/o	F	BRO9: kubo		cube	cube	Kubus	szes'cian	????				
KUBUT/	kubut/o	F	BRO8: kubuto		coude	elbow	Eltbogen	?okiec'	??????				
KUDR/	kudr/i	F	BRO7: kudri		coudre	sew	nähen	szyc'	????				
KUGL/	kugl/o	F	BRO8: kuglo		balle (de fusil)	bullet	Kugel (Schiess-)	kula (do strzelania) AK	????				
KUIR/	kuir/i	F	BRO4: kuiri		faire cuire	cook (vb.) AK	kochen	gotowac'	??????				
KUK/	kuk/o	F	BRO5: kuko		gâteau	cake, cookey AK	Kuchen	ciastko AK	??????				
KUKOL/	kukol/o	F	BRO8: kukolo		coucou	cuckoo	Kuckuck	kuku?ka	???????				
KUKUM/	kukum/o	F	BRO9: kukumo		concombre	cucumber	Gurke	ogórek	???????				
KUKURB/	kukurb/o	F	BRO9: kukurbo		potiron, citrouille AK	pumpkin, gourd AK	Kürbis	dynia AK	?????				
KULER/	kuler/o	F	BRO5: kulero		cuillère	spoon	Löffel	?yz.ka	?????				
KULP/	kulp/a	F	BRO5: kulpa		coupable	guilty, at fault AK	schuldig	winny	?????????				
KULT/	kult/o	1OA	BRO9: kulto		culte	worship, cult	Kultus	kult	??????				
KULTUR/	kultur/i	1OA	BRO6: kulturi		culture	culture	Kultur	kultura	????????				
KUN	kun	F	BRO1: kun		avec	with	mit	z	??				
KUNIKL/	kunikl/o	F	BRO9: kuniklo		lapin	rabbit	Kaninchen	królik	???????				
KUPON/	kupon/o	1OA	BRO9: kupono		coupon (fin.)	coupon	Coupon, Zinsschein	kupon	??????				
KUPR/	kupr/o	F	BRO8: kupro		cuivre	copper	Kupfer	miedz'	????				
KUR/	kur/i	F	BRO3: kuri		courir	run (intr.) AK	laufen	biegac' AK	??????				
KURAC/	kurac/i	F	BRO5: kuraci		traiter (une maladie)	treat (as an ilness), cure AK	(ärtzlich) behandeln AK	leczyc'	??????				
KURAG^/	kurag^/a	F	BRO3: kurag^a		courageux, hardi	courageous AK	mutig, kühn AK	smialy	??????				
KURB/	kurb/o	F	BRO7: kurbo		courbe, tortueux	curved, bent AK	krumm, gebogen AK	krzywy	??????				
KURENT/	kurent/o	8OA	BRO9: kurento	kurent/o. Fluo de elektro pasanta tra konduktilo: "kontinua kurento", "alterna kurento".	courant (électrique)	current (electric)	Strom (elektrischer)			corriente (eléctrica) (noto)	corrente (elettrica)		corrente (elétrica)
